-7.860262008733621, -0.9028447383698914
-6.8122270742358, -0.8139510816063806
-6.602620087336234, -0.7670394022767999
-5.868995633187765, -0.6886866749122849
-4.7161572052401795, -0.5685337102758918
-3.877729257641924, -0.4589216750384937
-2.8296943231441034, -0.3388141454426128
-1.8864628820960547, -0.22395436302597327
-0.7336244541484618, -0.0985990862508519
0.2096069868995727, 0.0006537597496030223
0.9432314410480487, 0.0790064871141185
1.9912663755458624, 0.18870939243254226
3.2489082969432417, 0.3297170406643617
4.6113537117904, 0.4759724360754225
6.183406113537131, 0.6223187015675093
7.231441048034952, 0.7476285433021186
8.069868995633207, 0.831229017845875
9.013100436681242, 0.9356841759850574
